StepID,DOY,Time1,Time2,Hours,StepLength,SL_Hour,Pack,,
173,356,21/12/2021 7:00,21/12/2021 11:00,4,800.9020516,200.2255129,Grant Creek,,
174,356,21/12/2021 11:00,21/12/2021 15:00,4,2783.131212,695.7828029,Grant Creek,,
175,356,21/12/2021 15:00,21/12/2021 19:01,4.016666667,15.57513024,3.89378256,Grant Creek,,
176,356,21/12/2021 19:01,21/12/2021 23:00,3.983333333,7.543699122,1.88592478,Grant Creek,,
177,356,21/12/2021 23:00,22/12/2021 3:00,4,1.341062911,0.335265728,Grant Creek,,
178,357,22/12/2021 3:00,22/12/2021 7:00,4,3.601147075,0.900286769,Grant Creek,,
179,357,22/12/2021 7:00,22/12/2021 11:01,4.016666667,83.38664414,20.84666104,Grant Creek,,
180,357,22/12/2021 11:01,22/12/2021 15:00,3.983333333,5463.645816,1365.911454,Grant Creek,,
181,357,22/12/2021 15:00,22/12/2021 19:00,4,3132.739589,783.1848972,Grant Creek,,
182,357,22/12/2021 19:00,22/12/2021 23:00,4,8.378745863,2.094686466,Grant Creek,,
183,357,22/12/2021 23:00,23/12/2021 3:00,4,2.00164729,0.500411822,Grant Creek,,
184,358,23/12/2021 3:00,23/12/2021 7:01,4.016666667,3.24559585,0.811398963,Grant Creek,,
185,358,23/12/2021 7:01,23/12/2021 11:00,3.983333333,4.853698552,1.213424638,Grant Creek,,
186,358,23/12/2021 11:00,23/12/2021 15:00,4,7.369746286,1.842436571,Grant Creek,,
187,358,23/12/2021 15:00,23/12/2021 19:00,4,15.66318596,3.915796491,Grant Creek,,
188,358,23/12/2021 19:00,23/12/2021 23:00,4,2.454205079,0.61355127,Grant Creek,,
189,358,23/12/2021 23:00,24/12/2021 3:00,4,4.152586991,1.038146748,Grant Creek,,
190,359,24/12/2021 3:00,24/12/2021 7:00,4,1.582085202,0.3955213,Grant Creek,,
191,359,24/12/2021 7:00,24/12/2021 11:01,4.016666667,7.516715233,1.879178808,Grant Creek,,
192,359,24/12/2021 11:01,24/12/2021 15:00,3.983333333,32.57064154,8.142660385,Grant Creek,,
193,359,24/12/2021 15:00,24/12/2021 19:00,4,69.49620872,17.37405218,Grant Creek,,
194,359,24/12/2021 19:00,24/12/2021 23:00,4,2139.867219,534.9668047,Grant Creek,,
195,359,24/12/2021 23:00,25/12/2021 3:00,4,55.88552236,13.97138059,Grant Creek,,
196,360,25/12/2021 3:00,25/12/2021 7:00,4,1.240483104,0.310120776,Grant Creek,,
197,360,25/12/2021 7:00,25/12/2021 11:00,4,1733.553105,433.3882763,Grant Creek,,
198,360,25/12/2021 11:00,25/12/2021 15:01,4.016666667,2295.533828,573.8834569,Grant Creek,,
199,360,25/12/2021 15:01,25/12/2021 19:00,3.983333333,2.561526945,0.640381736,Grant Creek,,
200,360,25/12/2021 19:00,25/12/2021 23:00,4,3.714186682,0.928546671,Grant Creek,,
201,360,25/12/2021 23:00,26/12/2021 3:00,4,24.09754518,6.024386295,Grant Creek,,
202,361,26/12/2021 3:00,26/12/2021 7:00,4,27.33604672,6.83401168,Grant Creek,,
203,361,26/12/2021 7:00,26/12/2021 11:00,4,5.83881098,1.459702745,Grant Creek,,
204,361,26/12/2021 11:00,26/12/2021 15:00,4,5.55537222,1.388843055,Grant Creek,,
205,361,26/12/2021 15:00,26/12/2021 19:01,4.016666667,1260.649678,315.1624195,Grant Creek,,
206,361,26/12/2021 19:01,26/12/2021 23:00,3.983333333,790.0173981,197.5043495,Grant Creek,,
207,361,26/12/2021 23:00,27/12/2021 3:00,4,1.341769521,0.33544238,Grant Creek,,
208,362,27/12/2021 3:00,27/12/2021 7:00,4,2.129637521,0.53240938,Grant Creek,,
209,362,27/12/2021 7:00,27/12/2021 11:01,4.016666667,654.8306789,163.7076697,Grant Creek,,
210,362,27/12/2021 11:01,27/12/2021 15:00,3.983333333,9.949273396,2.487318349,Grant Creek,,
211,362,27/12/2021 15:00,27/12/2021 19:00,4,41.27532114,10.31883029,Grant Creek,,
212,362,27/12/2021 19:00,27/12/2021 23:00,4,11.53542662,2.883856654,Grant Creek,,
213,362,27/12/2021 23:00,28/12/2021 3:01,4.016666667,46.63672939,11.65918235,Grant Creek,,
214,363,28/12/2021 3:01,28/12/2021 7:00,3.983333333,1448.950714,362.2376786,Grant Creek,,
215,363,28/12/2021 7:00,28/12/2021 11:00,4,1465.19932,366.2998299,Grant Creek,,
216,363,28/12/2021 11:00,28/12/2021 15:00,4,44.71706384,11.17926596,Grant Creek,,
217,363,28/12/2021 15:00,28/12/2021 19:00,4,84.04892508,21.01223127,Grant Creek,,
